Transaction ID,Items
1,"['Bananas', 'Carrots', 'Cucumber', 'Detergent', 'Oranges', 'Tomatoes']"
2,"['Bread', 'Cucumber', 'Eggs', 'Shampoo', 'Soap']"
3,"['Bread', 'Chocolate', 'Eggs', 'Milk', 'Shampoo']"
4,"['Carrots', 'Juice', 'Soap', 'Toothpaste']"
5,"['Soap', 'Tea']"
6,"['Milk', 'Tea']"
7,"['Butter', 'Chocolate', 'Juice', 'Tomatoes']"
8,"['Detergent', 'Toothpaste']"
9,"['Chocolate', 'Cucumber', 'Detergent']"
10,"['Bread', 'Eggs']"
11,"['Coffee', 'Eggs', 'Oranges', 'Tomatoes']"
12,"['Eggs', 'Shampoo']"
13,"['Apples', 'Cheese', 'Chips', 'Chocolate', 'Eggs', 'Toothpaste']"
14,"['Cheese', 'Detergent', 'Eggs', 'Toothpaste']"
15,"['Tomatoes', 'Toothpaste']"
16,"['Cucumber', 'Shampoo']"
17,"['Apples', 'Shampoo']"
18,"['Apples', 'Carrots', 'Cheese', 'Coffee', 'Eggs', 'Oranges']"
19,"['Bread', 'Chips', 'Chocolate', 'Eggs', 'Oranges']"
20,"['Chocolate', 'Eggs', 'Shampoo', 'Toothpaste']"
21,"['Carrots', 'Coffee', 'Detergent']"
22,"['Cucumber', 'Shampoo']"
23,"['Chocolate', 'Milk']"
24,"['Bananas', 'Cheese', 'Cucumber', 'Eggs', 'Soap', 'Toothpaste']"
25,"['Apples', 'Bread', 'Carrots', 'Chocolate', 'Oranges']"
26,"['Carrots', 'Chips']"
27,"['Butter', 'Coffee', 'Juice', 'Shampoo', 'Toothpaste']"
28,"['Bananas', 'Juice', 'Shampoo']"
29,"['Carrots', 'Detergent', 'Eggs', 'Tomatoes']"
30,"['Bananas', 'Chips', 'Chocolate', 'Coffee', 'Eggs', 'Oranges']"
31,"['Cucumber', 'Juice']"
32,"['Butter', 'Carrots', 'Chocolate', 'Cucumber', 'Milk', 'Tea']"
33,"['Chips', 'Detergent', 'Juice', 'Milk']"
34,"['Carrots', 'Detergent', 'Milk', 'Shampoo', 'Toothpaste']"
35,"['Juice', 'Soap']"
36,"['Carrots', 'Cheese', 'Juice', 'Milk']"
37,"['Apples', 'Carrots', 'Coffee', 'Eggs', 'Oranges', 'Soap']"
38,"['Bananas', 'Carrots', 'Soap', 'Tomatoes', 'Toothpaste']"
39,"['Apples', 'Chocolate', 'Eggs', 'Milk', 'Tea']"
40,"['Apples', 'Bread', 'Cheese', 'Detergent', 'Toothpaste']"
